country_code,country_name,genre,content_type,lyric_style,language,query,video_count,total_views,median_views,total_likes,total_comments,avg_like_rate,avg_comment_rate,views_score,median_views_score,like_rate_score,comment_rate_score,youtube_opportunity_score
JP,Japan,lofi,instrumental,no_lyrics,ja,Japanese lofi study music,25,81161060,955529.0,1089472,23558,0.013550085203828957,0.00026571667203710797,0.29566100667919265,0.5390055242374361,0.05510204742797427,0.018499316152262718,0.2666718127241191
DE,Germany,lofi,instrumental,no_lyrics,de,German lofi music,25,36853141,494.0,646330,19385,0.029304967107164254,0.008567565776851825,0.20250231173291444,0.0,0.14485887336404787,0.9320480471790324,0.2627871939479193
BR,Brazil,jazz,instrumental,no_lyrics,pt,Brazilian jazz instrumental,25,53107881,594123.0,761041,8273,0.025371954855793008,0.0003868369513742869,0.24561690192411556,0.5051512045999428,0.12245218709266169,0.03182758508284541,0.2469806577083724
DE,Germany,jazz,instrumental,no_lyrics,de,German jazz instrumental,25,66716452,280481.0,632066,13050,0.015085399179189827,0.000453732783164864,0.27253531262670616,0.45167583611482676,0.06384885429642269,0.03918890922541736,0.24205848806459446
KR,South Korea,lofi,instrumental,no_lyrics,ko,Korean lofi music,25,53381480,739264.0,459349,9262,0.013035110302119792,0.0003973348010255361,0.24622323798826395,0.5207232275123332,0.052168194105698916,0.032982785220348095,0.2400289113955057
ES,Spain,jazz,instrumental,no_lyrics,es,Spanish jazz instrumental,25,40782269,980211.0,439132,9818,0.015104708664219275,0.00039461557426425596,0.21445626880729027,0.5408224788290632,0.06395886198149055,0.032683557165757125,0.22988899304154492
GB,United Kingdom,pop,instrumental,no_lyrics,en,pop instrumental music UK,25,47117808,854742.0,267517,4892,0.00565505931609248,0.00010597782311142684,0.23149558760528108,0.5310641175286055,0.010123451668628023,0.0009213981620284518,0.2236173447829601
FR,France,lofi,instrumental,no_lyrics,fr,French lofi music,25,33459155,420622.0,546634,12901,0.017612999867967372,0.000744847176626732,0.1911018991991286,0.48054647949510276,0.07824879816464539,0.07122360190327866,0.21408110550877343
US,United States,pop,instrumental,no_lyrics,en,pop instrumental music,25,36889303,602348.0,158849,4008,0.004150858201239804,0.00010638387954052921,0.20261803990831959,0.5061307566248779,0.001553897262123872,0.0009660812598357334,0.20291316805742934
IT,Italy,jazz,instrumental,no_lyrics,it,Italian jazz instrumental,25,27455942,656926.0,235148,5750,0.011730097053360944,0.0004623337705023556,0.16776866692822714,0.5123103016825292,0.044733428949616044,0.04013537560520085,0.19907671448384193
FR,France,jazz,instrumental,no_lyrics,fr,French jazz instrumental,25,31511603,287248.0,349527,6839,0.016223174982842994,0.00042891174089662804,0.18402561262552397,0.45337432143386214,0.07033085431326536,0.03645756210255071,0.19870593306190684
MX,Mexico,jazz,instrumental,no_lyrics,es,Latin jazz instrumental,25,19736206,284003.0,253037,4972,0.014134442574071633,0.000349735779972946,0.12881429168569652,0.4525648928439295,0.05843117823880123,0.027744912942533347,0.16784653808883435
TH,Thailand,lofi,instrumental,no_lyrics,th,Thai lofi music,25,28147906,11071.0,277830,6237,0.017196740487886664,0.0009517858992063532,0.1707056755830725,0.22140383671346067,0.07587733508727046,0.09399546935426298,0.1551145258004584
TW,Taiwan,lofi,instrumental,no_lyrics,zh,Taiwan lofi music,25,9781598,4487.0,155068,3471,0.021806739122307475,0.0019148059568348161,0.04598546175437719,0.15706824519232823,0.1021408670854157,0.19996773414640218,0.09972267010042693
ID,Indonesia,lofi,instrumental,no_lyrics,id,Indonesian lofi music,25,6624590,11911.0,80604,3083,0.011331716946034066,0.0005497916557055747,0.0,0.22661380174287277,0.042463825523254395,0.04975938093665753,0.05915624131756134
